alt,src,price,target,store,clothesType,clothesColor
"BLUSA MLG CUELLO EN V AJUSTE NIDO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h2f/h44/11451516518430/16740410-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa,negro
"BLUSA ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he1/hc4/11450889666590/16696091-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa,crudo
"CAMISETA CORRUGADA ML UNICOLOR, H&O TRYBU, VERDE, 95% POLYESTER 5% SPANDEX",https://images.deprati.com.ec/sys-master/images/h2a/h02/11446344941598/16767886-0_product_300Wx450H,"$29,99",mujer,De Prati,camiseta,verde
"JEAN JOGGER, H&O, AZUL COMBINADO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h4d/h0c/11447080452126/16749235-0_product_300Wx450H,"$31,99",mujer,De Prati,jean,azul
"CAMISERO ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he6/h00/11447048306718/16738555-0_product_300Wx450H,"$29,99",mujer,De Prati,camisero,crudo
"FALDA LARGA PRINT CON ABERTURA, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h97/hb7/11447053156382/16738559-0_product_300Wx450H,"$29,99",mujer,De Prati,falda,beige
"CARDIGAN UNICOLOR, H&O, CRUDO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h09/hf1/11447004037150/16740787-0_product_300Wx450H,"$23,99",mujer,De Prati,cardigan,crudo
"BLUSA ASIMETRICA MLG CON LAZO, ISABELLA, PALO ROSA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h53/hbf/11447024517150/16740479-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa,palo rosa
"CAMISETA MC UNICOLOR, H&O, GRIS, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h26/h7e/11447034150942/16740645-0_product_300Wx450H,"$8,00",mujer,De Prati,camiseta,gris
"CAMISETA SISA CON BOTONES, H&O, CRUDO COMBINADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hd3/ha6/11446998925342/16740729-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,crudo
