alt,src,price
"CAMISETA CORRUGADA ML UNICOLOR, H&O TRYBU, VERDE, 95% POLYESTER 5% SPANDEX",https://images.deprati.com.ec/sys-master/images/h2a/h02/11446344941598/16767886-0_product_300Wx450H,"$29,99"
"BLUSA CUTOUT SMCRP, H&O TRYBU, LILA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha6/hef/11446300704798/16755714-0_product_300Wx450H,"$23,99"
"BLUSA CORSET ML, H&O TRYBU, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h84/hc3/11446290907166/16755445-0_product_300Wx450H,"$23,99"
"JEAN JOGGER, H&O, AZUL COMBINADO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h4d/h0c/11447080452126/16749235-0_product_300Wx450H,"$39,98"
"VESTIDO LARGO MLG CUELLO EN V, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf3/h0f/11447056924702/16740374-0_product_300Wx450H,"$45,99"
"ENTERIZO LARGO MLG CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hd2/h65/11447018618910/16740438-0_product_300Wx450H,"$49,99"
"CAMISERO ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he6/h00/11447048306718/16738555-0_product_300Wx450H,"$29,99"
"FALDA LARGA PRINT CON ABERTURA, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h97/hb7/11447053156382/16738559-0_product_300Wx450H,"$29,99"
"CARDIGAN UNICOLOR, H&O, CRUDO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h5f/h87/11447005020190/16740788-0_product_300Wx450H,"$23,99"
"BLUSA ASIMETRICA MLG CON LAZO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h9f/h58/11447031726110/16740485-0_product_300Wx450H,"$35,99"
"CAMISETA MC UNICOLOR, H&O, GRIS, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h8f/h14/11447035133982/16740646-0_product_300Wx450H,"$15,99"
"CAMISETA SISA CON BOTONES, H&O, CRUDO COMBINADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hd3/ha6/11446998925342/16740729-0_product_300Wx450H,"$15,99"
"BODY, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/he9/h90/11446964977694/16738492-0_product_300Wx450H,"$19,99"
"BLUSA ML CON DETALLE EN DELANTERO, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h3c/h9c/11446898196510/16713911-0_product_300Wx450H,"$29,99"
"BLUSA MS CON DETALLE EN CUELLO, EXPRESSIONS, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc1/h70/11446901800990/16714298-0_product_300Wx450H,"$29,99"
"BLUSA MC CUELLO EN V, EXPRESSIONS, ROJO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he5/ha0/11446888529950/16713712-0_product_300Wx450H,"$27,99"
"BLUSA ML MESH EN MANGA, H&O, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/haf/h27/11446861889566/16695732-0_product_300Wx450H,"$35,99"
"CAMISETA TIRAS SMCRP UNICOLOR, H&O TRYBU, HABANO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h9f/h98/11446791667742/16774601-0_product_300Wx450H,"$13,99"
"SHORT ANIMAL PRINT, H&O TRYBU, NEGRO COMBINADO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h64/hf2/11442618990622/16767215-0_product_300Wx450H,"$23,99"
"CAMISETA SISA REG UNICOLOR, H&O TRYBU, BLANCO, 100% algodón",https://images.deprati.com.ec/sys-master/images/haa/hf1/11446787506206/16767104-0_product_300Wx450H,"$13,99"
"PANTALON C APLIQUES SLIM UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h10/ha4/11441853988894/16766973-0_product_300Wx450H,"$35,99"
"CAMISETA ML SMCRP UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/he5/h47/11441945247774/16767967-0_product_300Wx450H,"$13,99"
"VESTIDO TIRAS UNICOLOR, H&O TRYBU, NEGRO, 64% POLIESTER 34% ALGODÓN 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/ha9/h2e/11442535235614/16755531-0_product_300Wx450H,"$27,99"
"BLUSA ML C APLIQUE, H&O TRYBU, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hbe/h42/11441530634270/16754544-0_product_300Wx450H,"$27,99"
"BLUSA ML C FAJIN, H&O TRYBU, NEGRO, 98% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf9/h39/11441602396190/16755421-0_product_300Wx450H,"$27,99"
"CAMISETA MC C APLIQUE, H&O TRYBU, DORADO, 94% POLIESTER 6% ELASTANO",https://images.deprati.com.ec/sys-master/images/h67/hf7/11442553159710/16755656-0_product_300Wx450H,"$15,99"
"PANTALON RECTO TEXTURA, H&O TRYBU, DORADO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf4/h8b/11442525896734/16755383-0_product_300Wx450H,"$35,99"
"PANTALON JOGGER UNICOLOR, H&O TRYBU, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf4/h12/11442568790046/16755711-0_product_300Wx450H,"$35,99"
"CAMISETA CROP ML C APERTURA, H&O TRYBU, ROJO, 92%VISCOSA 8%ELASTANO",https://images.deprati.com.ec/sys-master/images/h6f/hf3/11441613733918/16755437-0_product_300Wx450H,"$19,99"
"CAMISETA CORSET TEXTURA, H&O TRYBU, BLANCO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/he4/ha1/11442565382174/16755670-0_product_300Wx450H,"$23,99"
"CAMISETA MC C ENCARRUJADO, H&O TRYBU, DORADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb1/hf8/11442511708190/16754487-0_product_300Wx450H,"$19,99"
"VESTIDO TIRAS C ENCARRUJADO, H&O TRYBU, NEGRO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h11/h47/11442519703582/16754610-0_product_300Wx450H,"$27,99"
"VESTIDO HALTER C ABERTURA, H&O TRYBU, ROJO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h96/h41/11441551310878/16755363-0_product_300Wx450H,"$29,99"
"BLUSA SMCRP MESH, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h3c/11441637097502/16755689-0_product_300Wx450H,"$27,99"
"BLUSA TEXTURA SMCRP, H&O TRYBU, LILA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h61/hac/11441544265758/16754667-0_product_300Wx450H,"$27,99"
"ENTERIZO MC UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/had/hb9/11441638637598/16755766-0_product_300Wx450H,"$35,99"
"BLUSA SATIN EN PUNTA UNICOLOR, H&O TRYBU, LILA, 98% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hce/h40/11441608392734/16755425-0_product_300Wx450H,"$19,99"
"SHORT UNICOLOR C LAZO, H&O TRYBU, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h18/ha5/11441703419934/16755775-0_product_300Wx450H,"$29,99"
"SHORT ECO C APLIQUES PROCESO DE LAVADO ECOAMIGABLE, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h69/hab/11441560453150/16755389-0_product_300Wx450H,"$29,99"
"JEAN RECTO UNICOLOR, H&O TRYBU, LILA, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc5/h18/11441521950750/16754476-0_product_300Wx450H,"$39,98"
"SHORT C BOTONES, H&O TRYBU, ROJO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h7a/ha0/11442520784926/16755378-0_product_300Wx450H,"$29,99"
"BLUSA M34 CON RUCHE FRONTAL, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h47/h72/11430342197278/16745768-0_product_300Wx450H,"$27,99"
"ENTERIZO TIRAS CORTO, H&O, NEGRO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hcd/hb5/11430315458590/16740736-0_product_300Wx450H,"$29,99"
